gacha_id,group_id,drop_id,card_id,prob
# 通常
# ☆1枠
1,1,1,35,1
1,1,2,36,1
1,1,3,37,1
1,1,4,38,1
1,1,5,39,1
1,1,6,40,1
1,1,7,41,1
1,1,8,42,1
1,1,9,43,1
1,1,10,44,1
1,1,11,45,1
1,1,12,46,1
1,1,13,47,1
1,1,14,48,1
1,1,15,49,1
1,1,16,50,1
1,1,17,51,1
1,1,18,52,1
1,1,19,53,1
1,1,20,54,1
1,1,21,55,1
1,1,22,56,1
1,1,23,57,1
1,1,24,58,1
1,1,25,59,1
1,1,26,60,1
1,1,27,61,1
1,1,28,62,1
1,1,29,63,1
1,1,30,64,1
1,1,31,65,1
1,1,32,66,1
1,1,33,67,1
1,1,34,68,1
1,1,35,69,1
1,1,36,70,1
1,1,37,71,1
1,1,38,72,1
1,1,39,73,1
1,1,40,74,1
1,1,41,75,1
1,1,42,76,1
1,1,43,77,1
1,1,44,78,1
1,1,45,79,1
1,1,46,80,1
1,1,47,81,1
1,1,48,82,1
1,1,49,83,1
1,1,50,84,1
1,1,51,85,1
1,1,52,86,1
1,1,53,87,1
1,1,54,88,1
1,1,55,89,1
1,1,56,90,1
1,1,57,91,1
1,1,58,92,1
1,1,59,93,1
1,1,60,94,1
1,1,61,95,1
1,1,62,96,1
1,1,63,97,1
1,1,64,98,1
1,1,65,99,1
1,1,66,100,1
# ☆2枠
1,2,67,14,1
1,2,68,15,1
1,2,69,16,1
1,2,70,17,1
1,2,71,18,1
1,2,72,19,1
1,2,73,20,1
1,2,74,21,1
1,2,75,22,1
1,2,76,23,1
1,2,77,24,1
1,2,78,25,1
1,2,79,26,1
1,2,80,27,1
1,2,81,28,1
1,2,82,29,1
1,2,83,30,1
1,2,84,31,1
1,2,85,32,1
1,2,86,33,1
1,2,87,34,1
# ☆3枠
1,3,88,1,1
1,3,89,2,1
1,3,90,3,1
1,3,91,4,1
1,3,92,5,1
1,3,93,6,1
1,3,94,7,1
1,3,95,8,1
1,3,96,9,1
1,3,97,10,1
1,3,98,11,1
1,3,99,12,1
1,3,100,13,1

# 北アPU
# ☆1枠
2,1,1,35,1
2,1,2,36,1
2,1,3,37,1
2,1,4,38,10
2,1,5,39,1
2,1,6,40,1
2,1,7,41,1
2,1,8,42,1
2,1,9,43,1
2,1,10,44,1
2,1,11,45,1
2,1,12,46,1
2,1,13,47,1
2,1,14,48,1
2,1,15,49,1
2,1,16,50,1
2,1,17,51,1
2,1,18,52,1
2,1,19,53,1
2,1,20,54,1
2,1,21,55,1
2,1,22,56,1
2,1,23,57,1
2,1,24,58,1
2,1,25,59,1
2,1,26,60,1
2,1,27,61,1
2,1,28,62,1
2,1,29,63,1
2,1,30,64,1
2,1,31,65,1
2,1,32,66,1
2,1,33,67,1
2,1,34,68,1
2,1,35,69,1
2,1,36,70,1
2,1,37,71,1
2,1,38,72,1
2,1,39,73,1
2,1,40,74,1
2,1,41,75,1
2,1,42,76,1
2,1,43,77,1
2,1,44,78,1
2,1,45,79,1
2,1,46,80,1
2,1,47,81,1
2,1,48,82,1
2,1,49,83,1
2,1,50,84,1
2,1,51,85,1
2,1,52,86,1
2,1,53,87,1
2,1,54,88,1
2,1,55,89,1
2,1,56,90,1
2,1,57,91,1
2,1,58,92,1
2,1,59,93,1
2,1,60,94,1
2,1,61,95,1
2,1,62,96,1
2,1,63,97,1
2,1,64,98,1
2,1,65,99,1
2,1,66,100,1
# ☆2枠
2,2,67,14,10
2,2,68,15,10
2,2,69,16,1
2,2,70,17,1
2,2,71,18,10
2,2,72,19,10
2,2,73,20,10
2,2,74,21,1
2,2,75,22,10
2,2,76,23,10
2,2,77,24,1
2,2,78,25,10
2,2,79,26,1
2,2,80,27,10
2,2,81,28,10
2,2,82,29,1
2,2,83,30,1
2,2,84,31,1
2,2,85,32,1
2,2,86,33,1
2,2,87,34,1
# ☆3枠
2,3,88,1,1
2,3,89,2,1
2,3,90,3,10
2,3,91,4,1
2,3,92,5,10
2,3,93,6,1
2,3,94,7,1
2,3,95,8,1
2,3,96,9,1
2,3,97,10,1
2,3,98,11,10
2,3,99,12,10
2,3,100,13,1
